name,complain,full
Jigjagz,Max Life Insurance — fraudulent selling of life insurance,"term plan insurance of max life insurance co ltd.  And paid dated 27/11/2018 wide :e-quote number:[protected]. 
I have paid rs 12549/- for it :
We acknowledge the receipt of equote no 12549. 00 as premium for the mentioned plan. 
Max life online term plan plus
 Equote no application number :[protected]

Move a step closer to your policy issuance, by filling the form at the earliest..."
nvtr,Max Life Insurance — entionof wrong date and wrong amount of credit of surrendered policy,"Similar to other complaints posted in this group, I have also received continuous calls from GBIC relating to my insurance policy with MaxLife. I do not understand how the policy information gets leaked to others. This is a serious issue and I hope MaxLife shall address this asap.

My..."
naza,Policy Bazaar — refund not given yet...,"I almost paid 2, 48, 000 to Max life insurance . Now they are giving surrender value 1, 28000 app. Even I was agent in Max life insurance. they never give full information to their agents also. their commitment is fake. never buy any policy with Max. They are cheaters. 

Samarpan mehta
Policy no..."
sahil,Max Life Insurance — max life insurance death bonus not get to policy holder's nominee,I am approached by max agent working along with laxmi vilas bank in dwarakanagar visakhapatnam. I was asked to sign an application and i paid rs.25000/- for which i signed the documents and for which nominee would be my wife name nagasudha. I have made the payment and due to kyc of my wife...
sakshi,Max Life Insurance — cheating with us.,"given the exam through max life insurance co.  Ltd, kuber complex rathyatra varanasi as a advisor in 2012.  My agency no and the date of termination of my code 2015.  My pan no accpa2628q 

Now i am getting trouble in the license from lic varanasi.  

So, i requesting you to please remove my name from irda..."
kushkumar012,Max Life Insurance — agent code elimination process - fake call,I am approached by max agent working along with laxmi vilas bank in dwarakanagar visakhapatnam. I was asked to sign an application and i paid rs.25000/- for which i signed the documents and for which nominee would be my wife name nagasudha. I have made the payment and due to kyc of my wife...
sanya,Maxlifeinsurance — amount deduction without giving intimation,"direction given to max life insurance authority. 
Complainer's mobile no.  [protected]..."
Juli Khandor,Max Life Insurance — vanitha frauds my money,"Is in ref to one of my policy. Policy no.[protected] 

This policy is by the name of my mother late mrs ranjana dayal and i am the nominee on his policy. 

1) i have applied for death claim for the same on 28 aug by going to your noida office and cheque is been issued against it ..."
saumya,Max Life Insurance — call regarding non-payment of commission to agent,I am vist max life insorance office kuk 20/04/2018 ko muj ko time dey gay ke app 23/04/2018 ko aa jana app ke police cancel ho jay ge 23/04/2018 ko cancl ka form fil kar wa ley but abi takk mere payment nahi aii jab manny helpline la bat ke to on lgo na mana kar dey ke app ke police cancel...
appoorva,Max Life Insurance — max life agent case,"I wrote to Max Life Insurance company also.  Their reply is given below:

Dear Mr.  Chakravartty, 

Greetings from Max Life Insurance!

This is with reference to your email received by us on November 05, 2018 regarding a call received by you, subsequent to which you had made a payment..."
Aparna Dhar,Max Life Insurance — fraud calls related to my insurance policy,Hi i taken policy in max life insurance adm name vanitha agent name andand kumar he ask policy in insurance ur child plan 10000 give detail about correction in policy he take all the documents in my hand check leap also but my account is depeteted 30000 amount why you take my amount 30000 i ask my promotion my target udont worry i return ur money after 1year include bonus but after one not return my money fully cheating me frauds me pls let me solution for my problem...
shivanshu,Delhi Police — max life premium payment,Sir i have taken a maxlife insurance in ulip plan on 13 0ct 2017 and the premimum is 50000 per anum and the policy no is[protected]. Sir i got a call from maxlife regarding payment and i also confirmed from maxlife customer support regarding delay in payment. Then it was told me that your ...
Pswapnil7,Max Life Insurance — regarding license no. remove my pan accpa26282q,Sir.. This to bring to ur kind notice that i have surrendered my policy[protected]. But to my amazement the confirming mail which i received from ur end mentions the date of credit of the amount on 5th feb 2013.. Although thepolicy was started on 5th feb 2018.. Which i believe is wrong. Mo...
avneet,Max Life Insurance — complaint regarding policy,advisor 461418 from max life insurance is already terminated on 15 september 2014.  Kindly delete the pan asap.  My licence 5221997.  Now i want to join tata aia life insurance company.  Regisyered my complaint in so many platform like irda complaint and others also but no respond.  Kindly do needful to recrify the solution...
Promila Singh,Max Life Insurance — change in nominee name just a day before my father's demise,"Was very excited to purchase your policy, but my experience has turned out very poorly, i am writing to express my dis satisfaction with the poor response form your end.

I purchase two policies of max life future genius education plan policy no[protected] &[protected] worth rs 30000 ..."
soumyakantibhandari,Max Life Insurance — max life employee are fraud they missguided my parents,"I got a call from vivek rastogi ([protected]) who asked me to complain to rashmi tyagi ([protected]) if i didn't want to give the agent commission for my policies. Today again rashmi tyagi called with complete details about my policies and the exact commission payable.



She gav..."
saumya,Max Life Insurance — surrender value is just 50% of what I have paid,Policybazaar ke executive ravi gupta ki mere pass term insurance karwane k liye kai calls mob no [protected]se aaiyi thi. Unhone maxlife ke term insurence krwane k liye ghar par medical checkup ke liye kaha tha. Iske baad mene ? 37524/- ka payment kar diya uske baad meri policy no.[prote...
Samarpan Mehta,Max Life Insurance — policybazaar ke executive ravi gupta ke dwara galat jankari dekar policy bechna.,My father mr sunil kumar pandey bought a policy (Policy no.[protected] and had assigned me as nominee. Unfortunately in august 2015 he was diagnosed with brain tumor iv stage and was treated with radiotherapy and chemotherapy followed by surgery and managed to survive 10 months after diagn...
sampurna,Max Life Insurance — grievance for policy no[protected],My father mr sunil kumar pandey bought a policy (Policy no.[protected] and had assigned me as nominee. Unfortunately in august 2015 he was diagnosed with brain tumor iv stage and was treated with radiotherapy and chemotherapy followed by surgery and managed to survive 10 months after diagn...
